,0,total_value
637,견고,-0.022556390977443608
638,견고성,-0.5714285714285714
639,견과,-0.441860465116279
640,견뎌,0.09090909090909088
641,견디,-0.27868852459016397
642,견딜,-0.06666666666666665
643,견본,0.19999999999999996
644,견본품,0.3333333333333333
645,견이,0.23076923076923078
646,견주,0.4666666666666666
647,결,-0.027027027027026973
648,결과,-0.09463722397476343
649,결과물,-0.3333333333333333
650,결국,-0.7399553571428572
651,결로,-0.8461538461538463
652,결론,-0.5078864353312302
653,결속,-0.6666666666666667
654,결심,-0.11111111111111116
655,결재,-0.4803149606299213
656,결정,-0.14960629921259838
657,결제,-0.42229199372056514
658,결제금,0.2727272727272727
659,결착,-0.9130434782608696
660,결코,-0.4794520547945205
661,결함,-0.6444444444444444
662,결합,-0.6783216783216783
663,결혼,0.5932203389830508
664,결혼기념일,0.5789473684210527
665,결혼식,0.07975460122699385
666,겸,0.48
667,겸사겸사,0.14285714285714285
668,겸용,0.016393442622950838
669,겹,-0.25269461077844313
670,겹겹이,-0.25
671,겹쳐,-0.3866666666666667
672,겹쳐서,-0.41333333333333333
673,겹쳐지,-0.4545454545454546
674,겹치,0.07246376811594207
675,겻,-0.46853146853146854
676,경,-0.37931034482758624
677,경계,-0.3913043478260869
678,경고,-0.5555555555555556
679,경과,-0.25
680,경기,-0.045454545454545414
681,경기도,-0.5151515151515151
682,경남,-0.07692307692307687
683,경동,-0.7142857142857142
684,경량,-0.19148936170212766
685,경북,-0.10714285714285715
686,경비,-0.8378378378378379
687,경비실,-0.7639198218262806
688,경악,-0.7692307692307692
689,경우,-0.42191142191142195
690,경쟁력,0.19999999999999996
691,경제,0.607843137254902
692,경주,0.0
693,경차,0.16666666666666669
694,경첩,-0.8888888888888888
695,경향,0.24
696,경험,-0.08875739644970415
697,경화,-0.8333333333333333
698,곁,0.4285714285714286
699,곁들여,0.8
700,계,0.1891891891891892
701,계곡,0.5555555555555556
702,계기,-0.17391304347826092
703,계기판,-0.29268292682926833
704,계단,-0.48214285714285715
705,계란,-0.45819397993311034
706,계란말이,-0.16666666666666669
707,계란밥,0.22222222222222227
708,계란찜,0.6744186046511629
709,계량,0.19999999999999996
710,계량컵,0.23529411764705888
711,계면,0.8461538461538463
712,계산,-0.3469387755102041
713,계세요,0.14285714285714285
714,계셔서,0.7777777777777777
715,계셨,-0.125
716,계속,-0.02285787255778321
717,계시,-0.09638554216867473
718,계신,0.011235955056179803
719,계신데,0.3333333333333333
720,계실,-0.30000000000000004
721,계십니다,0.4666666666666666
722,계약,-0.6000000000000001
723,계열,0.1543624161073826
724,계절,0.28813559322033894
725,계좌,-0.8571428571428572
726,계통,-0.22222222222222227
727,계피,-0.5172413793103448
728,계획,0.24193548387096775
729,고,-0.3428664283392915
730,고가,0.148936170212766
731,고감,-0.8823529411764706
732,고개,-0.5373134328358209
733,고객,-0.7911832946635731
734,고고,0.2345679012345679
735,고고고,0.6666666666666667
736,고고씽,0.5555555555555556
737,고광택,0.10000000000000003
738,고구마,-0.38536585365853654
739,고글,-0.5384615384615385
740,고급,0.44336882865440463
741,고기,-0.18666400479137552
742,고냥,0.3333333333333333
743,고농,0.5428571428571429
744,고니,-0.23809523809523814
745,고당,-0.2820512820512821
746,고대,0.0
747,고대로,-0.7872340425531914
748,고데,-0.5238095238095237
749,고도,-0.07692307692307687
750,고동색,-0.368421052631579
751,고등어,-0.47368421052631576
752,고등학교,0.28571428571428575
753,고등학생,0.3076923076923077
754,고딩,0.5319148936170213
755,고래,-0.09090909090909088
756,고려,-0.4575471698113207
757,고로,-0.7777777777777777
